fid,cngdegrees,x,y
"-9",0,330303.8608624366,4166718.9897246207
"-9",8.983e-06,330304.1528997208,4166719.9199913950
"-9",1.7966e-05,330304.4449369691,4166720.8502581678
"-9",2.6949e-05,330304.7369741837,4166721.7805249393
"-9",3.5932e-05,330305.0290113734,4166722.7107917033
"-9",4.4915e-05,330305.3210485316,4166723.6410584631
"-9",5.3898e-05,330305.6130856473,4166724.5713252239
"-9",6.2881e-05,330305.9051227470,4166725.5015919753
"-9",7.1864e-05,330306.1971597995,4166726.4318587286
"-9",8.0847e-05,330306.4891968339,4166727.3621254726
"-9",8.983e-05,330306.7812338257,4166728.2923922199
"-9",9.8813e-05,330307.0732707949,4166729.2226589601
"-9",0.000107796,330307.3653077303,4166730.1529256953
"-10",0,330307.6226035556,4166730.3340859967
"-10",8.983e-06,330306.8564753476,4166730.5822048145
"-10",1.7966e-05,330306.0903471819,4166730.8303236943
"-10",2.6949e-05,330305.3242190564,4166731.0784426415
"-10",3.5932e-05,330304.5580909733,4166731.3265616577
"-10",4.4915e-05,330303.7919629282,4166731.5746807368
"-10",5.3898e-05,330303.0258349300,4166731.8227998889
"-10",6.2881e-05,330302.2597069674,4166732.0709191016
"-10",7.1864e-05,330301.4935790495,4166732.3190383846
"-10",8.0847e-05,330300.7274511717,4166732.5671577286
"-10",8.983e-05,330299.9613233342,4166732.8152771448
"-10",9.8813e-05,330299.1951955412,4166733.0633966257
"-10",0.000107796,330298.4290677862,4166733.3115161718
